Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Reference Designator,Packaging,Quantity,Unit Price,Extended Price,Description
2462,Keystone Electronics,36-2462-ND,,Bulk,55,0.8554,$47.04,BATTERY HOLDER AA 2 CELL PC PIN
TPS613221ADBVT,Texas Instruments,296-49467-1-ND,,Cut Tape (CT),55,0.86,$47.30,IC REG BOOST 3.3V 1.6A SOT23-5
MLZ2012N4R7LT000,TDK Corporation,445-6760-1-ND,,Cut Tape (CT),100,0.0863,$8.63,FIXED IND 4.7UH 600MA 180 MOHM
10118194-0001LF,Amphenol ICC (FCI),609-4618-1-ND,,Cut Tape (CT),55,0.3144,$17.29,CONN RCPT USB2.0 MICRO B SMD R/A
ATTINY861-15XD,Microchip Technology,1611-ATTINY861-15XDCT-ND,,Cut Tape (CT),55,0.6028,$33.15,IC MCU 8BIT 8KB FLASH 20TSSOP
SI2301CDS-T1-E3,Vishay Siliconix,SI2301CDS-T1-E3CT-ND,,Cut Tape (CT),55,0.33,$18.15,MOSFET P-CH 20V 3.1A SOT23-3
SI2302CDS-T1-E3,Vishay Siliconix,SI2302CDS-T1-E3CT-ND,,Cut Tape (CT),55,0.352,$19.36,MOSFET N-CH 20V 2.6A SOT-23
RK73B1JTTD682J,"KOA Speer Electronics, Inc.",2019-RK73B1JTTD682JCT-ND,,Cut Tape (CT),100,0.0061,$0.61,RES 6.8K OHM 5% 1/10W 0603
RMCF0603JT4K70,Stackpole Electronics Inc,RMCF0603JT4K70CT-ND,,Cut Tape (CT),100,0.0061,$0.61,RES 4.7K OHM 5% 1/10W 0603
CL21A106KPFNNNE,Samsung Electro-Mechanics,1276-1052-1-ND,,Cut Tape (CT),220,0.0435,$9.57,CAP CER 10UF 10V X5R 0805
AP7363-33D-13,Diodes Incorporated,AP7363-33D-13CT-ND,,Cut Tape (CT),55,0.483,$26.56,IC REG LINEAR 3.3V 1.5A TO252
